date,symbol,price_open,price_close,price_high,price_low,high_52wk,low_52wk,market_cap,shares_outstanding,float_shares,weekly_avg_volume,free_float_pct,dividend_yield,eps,net_income_margin,price_to_book,price_to_earnings,peg_ratio
2026-07-18,MTL,290.47,290.29,295,286.9,636.99,284.51,115.83B,399.03M,179.56M,265.13K,45,7.03,18.49,12.64,14.98,13.47,0.91
2026-07-18,MUGHAL,83.29,82.15,83.88,81.78,113.99,59,27.57B,335.63M,117.47M,919.55K,35,0,6.37,2.8,0.91,12.89,0.89
2026-07-18,MWMP,64,62.49,64.99,60,170.95,27.97,1.8B,28.75M,7.19M,36.01K,25,,,,,,
2026-07-18,NATM,77,85.16,77,77,92.94,77,1.81B,21.27M,1.06M,1,5,0,-53.59,-51.27,0.83,-1.59,0.05
2026-07-18,NESTLE,7620,7617.23,7690,7426.26,10524.97,7000,345.44B,45.35M,4.53M,288.6,10,7.31,393.76,8.81,12.85,19.34,1.29
2026-07-18,NETSOL,123.31,121.06,124.89,120.75,164.59,87.66,10.88B,89.84M,26.95M,347.8K,30,0,32.29,21.96,0.86,3.75,0.09
2026-07-18,NML,148.67,144.43,148.79,143.56,208.4,120,50.78B,351.6M,158.22M,1.95M,45,1.59,33.41,5.75,0.3,3.61,1.54
2026-07-18,NONS,103.5,102.79,103.5,100.04,157.1,70.02,1.7B,16.52M,3.3M,28.8K,20,4.44,39.15,4.55,0.81,1.93,0.18
2026-07-18,NRL,385.5,396.56,406.6,384,477.45,224,31.71B,79.97M,26.31M,2.4M,32.91,0,108.68,2.33,0.53,2.68,0.01
2026-07-18,NRSL,34.49,33.59,34.49,32.51,40.24,20.6,4.75B,141.32M,42.4M,17.72K,30,0,2.09,2.61,1.3,16.05,1.45
2026-07-18,NSRM,272.2,272.21,272.21,247.46,272.21,84.01,4.23B,15.55M,777.66K,9.11K,5,0,6.79,4.51,2.64,19.44,0.23
2026-07-18,OCTOPUS,32.93,31.86,32.93,31.75,60.89,24.35,5.01B,157.26M,47.18M,148.64K,30,,,,,,
2026-07-18,OGDC,323.65,317.94,325.9,316,352,220.99,1.37T,4.3B,645.14M,5.03M,15,5.03,36.17,39.85,0.97,8.79,0.78
2026-07-18,OLPM,24.7,25,25,24.5,25.98,19,1.13B,45.38M,34.04M,11.92K,75,13.32,3.44,9.88,0.85,6.39,-1.79
2026-07-18,OML,104,107.58,107.72,93.08,107.72,25.8,1.29B,12M,1.2M,85.56K,10,,,,,,
2026-07-18,ORM,10.65,10.36,10.71,10.28,16.79,9.2,777M,75M,26.25M,50.06K,35,,,,,,
